zip_code,male_poverty_rate,female_poverty_rate,median_income,mean_income,poverty_rate
ZCTA5 75568,5.2,10.8,38825,47397,11
ZCTA5 75569,9.3,29,36382,44501,22.7
ZCTA5 75570,5.1,13.2,54194,64102,13.1
ZCTA5 75571,5.5,17,50375,68878,13.5
ZCTA5 75572,8.3,16,48750,57177,18.1
ZCTA5 75573,43.1,0,88380,76459,0
ZCTA5 75574,13.2,13,57297,59228,17.1
ZCTA5 75601,3.4,17.9,44725,68689,15.6
ZCTA5 75602,4.9,27.6,42530,64616,25
ZCTA5 75603,5.3,10.9,48565,68099,9.8
ZCTA5 75604,5.2,20.8,50729,69242,19.1
ZCTA5 75605,3,13.3,62132,87999,12.1
ZCTA5 75630,8,23.8,32429,53029,23.1
ZCTA5 75631,6,22.8,60144,68334,18.9
ZCTA5 75633,3.1,14.2,54789,71536,11
ZCTA5 75638,8.3,25.3,39960,54767,25
ZCTA5 75639,11.6,26.4,29891,50312,23.6
ZCTA5 75640,4.2,12.2,56923,68465,9.2
ZCTA5 75641,65.3,8.1,46607,50256,5.6
ZCTA5 75642,70.7,0,-,N,0
ZCTA5 75643,6.6,17.8,55563,74639,16.5
ZCTA5 75644,5.9,24.8,48548,64429,21.8
ZCTA5 75645,5.1,10.5,56924,78047,10.7
ZCTA5 75647,4.7,21.5,47850,73153,17.8
ZCTA5 75650,6.1,14.6,62582,79973,13.6
ZCTA5 75651,13,25,49707,66756,20.2
ZCTA5 75652,4.1,12.7,53253,73130,11.7
ZCTA5 75654,4.1,14.2,55050,66870,12.8
ZCTA5 75656,5.8,14.2,40576,49019,13.5
ZCTA5 75657,5,23.4,38518,61687,19.3
ZCTA5 75661,8.2,7.2,53596,95473,8.5
ZCTA5 75662,3.6,16.1,58471,67449,14.1
ZCTA5 75667,9.3,15.6,41208,70170,15.3
ZCTA5 75668,4.9,20.4,37500,49258,14.9
ZCTA5 75669,14.4,32,70035,67012,21.9
ZCTA5 75670,5.4,36.2,36208,49545,31.1
ZCTA5 75672,3.9,13,58175,75310,12.8
ZCTA5 75681,4.7,13.7,44964,75274,12
ZCTA5 75682,13.9,11.8,77344,94300,5.9
ZCTA5 75683,8.3,16.2,39602,49443,21.2
ZCTA5 75684,4.7,15.2,52599,73007,14.7
ZCTA5 75686,5.5,18.7,49167,62617,17.6
ZCTA5 75691,7.7,16.2,63160,71110,15.5
ZCTA5 75692,5.8,13.2,58155,68441,11.1
ZCTA5 75693,5.1,16.7,64216,85242,13.5
ZCTA5 75701,3.3,19.2,47543,70166,18.9
ZCTA5 75702,4,24.8,37345,49484,25.9
ZCTA5 75703,2.5,11.5,62544,91612,11.2
ZCTA5 75704,11.4,27.8,39959,53374,25.2
ZCTA5 75705,12,13.7,40065,53376,12.5
ZCTA5 75706,6.8,18.3,49982,59521,17.6
ZCTA5 75707,4.5,12.2,74077,95672,9.7
ZCTA5 75708,12.3,20.1,43056,49701,20.5
ZCTA5 75709,8.9,11.9,62682,85744,13.4
ZCTA5 75750,1.7,15.7,64250,82005,10
ZCTA5 75751,7.2,23.9,45423,67706,24.5
ZCTA5 75752,2.9,4.6,55328,67037,4.8
ZCTA5 75754,4.7,15.8,57000,71909,12.6
ZCTA5 75755,6.2,21.7,43767,62563,19.8
ZCTA5 75756,8.9,10.9,59375,79058,10.9
ZCTA5 75757,3.8,11.1,69628,88223,9.3
ZCTA5 75758,5.3,10.7,50807,67438,11.9
ZCTA5 75759,44.3,14.7,-,17287,24.1
ZCTA5 75760,10.4,19.8,49306,58738,16.4
ZCTA5 75762,4.7,9.6,71725,97157,8.3
ZCTA5 75763,4.2,16.7,58551,65955,13.3
ZCTA5 75764,10.2,9.7,61875,69310,8.6
ZCTA5 75765,4.6,17.4,48306,62532,15.6
ZCTA5 75766,2.5,18.8,46892,59427,17
ZCTA5 75770,6.7,9.3,62988,84645,9.4
ZCTA5 75771,4.8,10.3,69199,84336,11.2
ZCTA5 75773,6.3,17.1,52254,75501,18.2
